"DHSID","lat","long","base_WI_no_elec_m","year","survey_year"
"UG200600000002",0.199816,32.524909,0.63024718839847,"2006","2006"
"UG200600000004",-0.499767,32.311082,-0.804407732783773,"2006","2006"
"UG200600000005",-0.169871,31.609709,0.441509199430189,"2006","2006"
"UG200600000006",-0.199608,31.612805,-0.524399806866691,"2006","2006"
"UG200600000007",-0.250356,32.061031,-1.19854748260357,"2006","2006"
"UG200600000008",-0.364765,31.55209,-0.299996902674615,"2006","2006"
"UG200600000009",-0.615551,31.747806,-1.48873154203912,"2006","2006"
"UG200600000010",-0.401768,31.415526,-1.16935371075231,"2006","2006"
"UG200600000011",-0.321275,31.805038,-0.416258819833703,"2006","2006"
"UG200600000012",-0.391236,31.768275,-0.674278967308798,"2006","2006"
"UG200600000013",-0.585794,31.701791,-0.843535765772508,"2006","2006"
"UG200600000014",-0.383707,31.445592,-1.27409444326212,"2006","2006"
"UG200600000019",0.103618,31.748963,-0.815952352400814,"2006","2006"
"UG200600000020",0.273579,31.631122,-1.45355155332314,"2006","2006"
"UG200600000021",0.114961,32.102472,-0.426227669216088,"2006","2006"
"UG200600000022",0.249573,32.238529,-0.938864940292056,"2006","2006"
"UG200600000023",-0.255863,31.195667,-1.44996206185932,"2006","2006"
"UG200600000024",-0.847251,31.732653,-1.14988658604886,"2006","2006"
"UG200600000025",-0.504027,31.183568,-1.37592519526869,"2006","2006"
"UG200600000026",-0.509567,31.328109,-1.13118477828425,"2006","2006"
"UG200600000027",-0.561573,31.570126,-0.745767651855145,"2006","2006"
"UG200600000028",0.123882,31.214166,-1.68968618868062,"2006","2006"
"UG200600000029",-0.291423,31.391554,-0.888036832303987,"2006","2006"
"UG200600000030",-0.145982,31.435004,-1.20675292197908,"2006","2006"
"UG200600000031",0.099426,32.528564,1.02866261584189,"2006","2006"
"UG200600000032",0.431351,32.282401,-0.841400412601112,"2006","2006"
"UG200600000033",0.180529,32.546452,0.208089983397523,"2006","2006"
"UG200600000035",0.560294825,32.50372162,-0.814141831725619,"2006","2006"
"UG200600000039",0.715878,32.525303,0.493760168756865,"2006","2006"
"UG200600000040",0.387385,32.065448,0.102877687706883,"2006","2006"
"UG200600000041",0.366424,32.935021,0.304402236407948,"2006","2006"
"UG200600000042",1.491609,32.529187,-1.30267883100449,"2006","2006"
"UG200600000043",0.956516,31.831879,-1.51076173132659,"2006","2006"
"UG200600000044",0.958253,31.618439,-1.08894375653391,"2006","2006"
"UG200600000045",0.5963,32.609883,-0.489137035325719,"2006","2006"
"UG200600000046",0.929063,32.438985,-1.33922211108238,"2006","2006"
"UG200600000047",0.655247,32.439331,-0.638842349596683,"2006","2006"
"UG200600000048",0.894168,32.413036,-0.728502302177189,"2006","2006"
"UG200600000049",0.792209,32.308322,-1.17557532348869,"2006","2006"
"UG200600000050",0.338518,32.118509,0.174118254542991,"2006","2006"
"UG200600000051",0.46951,31.331333,-1.24797866286781,"2006","2006"
"UG200600000052",0.512382,31.557315,-1.34410195813831,"2006","2006"
"UG200600000053",0.569049,31.386118,-0.6101743498892,"2006","2006"
"UG200600000054",0.648752,31.328888,-0.527803744597048,"2006","2006"
"UG200600000055",0.695439,31.801249,-1.25395218408261,"2006","2006"
"UG200600000056",0.469334,31.767405,-1.12040227869177,"2006","2006"
"UG200600000057",0.741383,31.917782,-1.11533602217523,"2006","2006"
"UG200600000058",0.573414,31.919594,-0.941733153381582,"2006","2006"
"UG200600000059",0.43761,32.148653,-0.847825152053741,"2006","2006"
"UG200600000060",0.472828,32.036195,-0.639929022287309,"2006","2006"
"UG200600000061",0.317131,33.013234,0.337109404913137,"2006","2006"
"UG200600000062",0.430846,32.965229,-1.02000918176015,"2006","2006"
"UG200600000063",0.362834,33.227008,-0.827995646672717,"2006","2006"
"UG200600000064",0.37216,33.082717,-0.488287141981007,"2006","2006"
"UG200600000065",0.47657,33.138141,-0.945036447958145,"2006","2006"
"UG200600000066",0.408399,32.738613,0.629525353879548,"2006","2006"
"UG200600000067",0.319006,32.79217,-0.480501811928702,"2006","2006"
"UG200600000068",0.203584,32.798451,-0.0538769969013759,"2006","2006"
"UG200600000070",0.629548,32.848492,-0.137667436364753,"2006","2006"
"UG200600000071",0.378465,32.873727,-0.302808322335836,"2006","2006"
"UG200600000072",0.503527,32.866341,-0.18380617876093,"2006","2006"
"UG200600000073",1.002155,32.542822,-0.980799668501234,"2006","2006"
"UG200600000074",0.860883,32.870222,-1.10533731193311,"2006","2006"
"UG200600000075",0.798221,33.014869,-1.0200630173216,"2006","2006"
"UG200600000076",0.723611,33.03655,-1.36064133387946,"2006","2006"
"UG200600000077",0.330551,32.563507,1.31802178844478,"2006","2006"
"UG200600000078",0.321401,32.57992,-0.0486201348992267,"2006","2006"
"UG200600000079",0.318584,32.558528,1.27293468094172,"2006","2006"
"UG200600000080",0.357434,32.558528,0.405847048923882,"2006","2006"
"UG200600000081",0.367217,32.580289,0.394763197293302,"2006","2006"
"UG200600000082",0.379365,32.560649,0.618764205991853,"2006","2006"
"UG200600000083",0.354185,32.598687,1.00668496931607,"2006","2006"
"UG200600000084",0.348705,32.572405,0.346474844475699,"2006","2006"
"UG200600000085",0.353116,32.57026,1.16008736805594,"2006","2006"
"UG200600000086",0.34061,32.57183,0.408286740265006,"2006","2006"
"UG200600000087",0.316168,32.625877,0.85896772172633,"2006","2006"
"UG200600000088",0.310322,32.603385,0.716444777122166,"2006","2006"
"UG200600000089",0.306552,32.598705,0.673843458220809,"2006","2006"
"UG200600000090",0.297866,32.577168,0.655468406878423,"2006","2006"
"UG200600000091",0.31143,32.609831,1.49748665253338,"2006","2006"
"UG200600000092",0.29988,32.615297,4.52625701830892,"2006","2006"
"UG200600000093",0.263794,32.628487,1.35485564846775,"2006","2006"
"UG200600000094",0.296931,32.599264,1.53937797206548,"2006","2006"
"UG200600000095",0.275792,32.609388,2.39058821587634,"2006","2006"
"UG200600000096",0.346711,32.586272,1.23138369441009,"2006","2006"
"UG200600000097",0.367455,32.613798,2.64603095172205,"2006","2006"
"UG200600000098",0.38234,32.607076,1.03394377532883,"2006","2006"
"UG200600000099",0.334977,32.638643,-0.180752816466694,"2006","2006"
"UG200600000100",0.322698,32.642004,0.860842197184649,"2006","2006"
"UG200600000101",0.332972,32.602535,0.133177789890322,"2006","2006"
"UG200600000102",0.320202,32.545805,0.800234621035479,"2006","2006"
"UG200600000103",0.283345,32.564498,0.151746106463857,"2006","2006"
"UG200600000104",0.338161,32.569363,0.285323092636487,"2006","2006"
"UG200600000105",0.346388,32.544799,0.508676933031913,"2006","2006"
"UG200600000106",0.310569,32.543071,1.14215599374174,"2006","2006"
"UG200600000107",0.279462,32.571946,2.35349668110672,"2006","2006"
"UG200600000108",0.327514,32.557294,0.462678645986534,"2006","2006"
"UG200600000109",0.310773,32.537451,0.72092260824439,"2006","2006"
"UG200600000110",0.294265,32.538238,0.347785936346944,"2006","2006"
"UG200600000111",0.479631,34.094179,-0.48308941088948,"2006","2006"
"UG200600000112",0.434176,33.203632,1.05609188566852,"2006","2006"
"UG200600000113",0.455347,33.243757,-0.0294363872103429,"2006","2006"
"UG200600000114",0.447477,33.834903,-1.22989570689483,"2006","2006"
"UG200600000115",0.343588,33.83904,-1.60541493577367,"2006","2006"
"UG200600000116",0.700497,33.699225,-1.61692254471905,"2006","2006"
"UG200600000117",0.512209,33.964461,-1.39148486423166,"2006","2006"
"UG200600000118",0.416167,34.069588,-1.08640637046956,"2006","2006"
"UG200600000119",0.530134,33.602206,-1.30526549486873,"2006","2006"
"UG200600000120",0.780065,33.710458,-1.2378964682467,"2006","2006"
"UG200600000121",0.794881,33.707816,-1.61986283441603,"2006","2006"
"UG200600000122",0.87726,33.725561,-1.08115698438881,"2006","2006"
"UG200600000123",0.764239,33.642331,-1.09209287808132,"2006","2006"
"UG200600000124",0.637026,33.458344,-0.430697259321304,"2006","2006"
"UG200600000125",0.868535,33.3712,-1.23811599349302,"2006","2006"
"UG200600000126",0.661336,33.524191,-1.19035502001934,"2006","2006"
"UG200600000127",0.77139,33.50468,-1.06851267491635,"2006","2006"
"UG200600000128",0.979498,33.321107,-1.13676939984371,"2006","2006"
"UG200600000129",0.721134,33.31988,-1.0671942396784,"2006","2006"
